Sample	Gloss
signer6_sample52	delay 
signer6_sample54	easy 
signer6_sample64	basement 
signer6_sample66	bowl 
signer6_sample67	bracelet 
signer6_sample70	elephant 
signer6_sample71	expensive 
signer6_sample74	hit 
signer6_sample75	idea 
signer6_sample76	king 
signer6_sample81	motorcycle 
signer6_sample100	outside 
signer6_sample122	bother 
signer6_sample123	bottle 
signer6_sample125	destroy 
signer6_sample133	queen 
signer6_sample163	department 
signer6_sample194	sticky 
signer6_sample209	hot dog 
signer8_sample8	how 
signer8_sample18	interest 
signer8_sample22	floor 
signer8_sample24	last year 
signer8_sample25	lemon 
signer8_sample27	easter 
signer8_sample34	also 
signer8_sample36	bald 
signer8_sample38	benefit 
signer8_sample57	battle 
signer8_sample60	evening 
signer8_sample75	joy 
signer9_sample1	computer 
signer9_sample3	chair 
signer9_sample4	go 
signer9_sample5	clothes 
signer9_sample6	who 
signer9_sample8	deaf 
signer9_sample9	help 
signer9_sample10	no 
signer9_sample12	walk 
signer9_sample13	year 
signer9_sample14	yes 
signer9_sample16	black 
signer9_sample17	finish 
signer9_sample18	hot 
signer9_sample19	many 
signer9_sample20	mother 
signer9_sample21	now 
signer9_sample22	orange 
signer9_sample23	table 
signer9_sample25	woman 
signer9_sample26	bed 
signer9_sample27	blue 
signer9_sample28	bowling 
signer9_sample30	family 
signer9_sample31	fish 
signer9_sample32	graduate 
signer9_sample33	hat 
signer9_sample37	man 
signer9_sample39	study 
signer9_sample40	tall 
signer9_sample41	white 
signer9_sample42	wrong 
signer9_sample44	apple 
signer9_sample45	bird 
signer9_sample46	change 
signer9_sample47	color 
signer9_sample49	cow 
signer9_sample50	dance 
signer9_sample53	eat 
signer9_sample54	enjoy 
signer9_sample55	meet 
signer9_sample57	pizza 
signer9_sample58	school 
signer9_sample61	time 
signer9_sample62	want 
signer9_sample63	work 
signer9_sample65	basketball 
signer9_sample67	brown 
signer9_sample70	city 
signer9_sample71	cook 
signer9_sample72	decide 
signer9_sample73	how 
signer9_sample74	jacket 
signer9_sample75	need 
signer9_sample76	paint 
signer9_sample77	paper 
signer9_sample78	pull 
signer9_sample79	purple 
signer9_sample80	son 
signer9_sample81	tell 
signer9_sample82	thursday 
signer9_sample83	visit 
signer9_sample84	wait 
signer9_sample85	water 
signer9_sample86	wife 
signer9_sample87	yellow 
signer9_sample88	backpack 
signer9_sample89	brother 
signer9_sample90	cat 
signer9_sample91	class 
signer9_sample92	cry 
signer9_sample93	different 
signer9_sample94	door 
signer9_sample95	green 
signer9_sample96	hair 
signer9_sample97	have 
signer9_sample98	headache 
signer9_sample100	knife 
signer9_sample102	learn 
signer9_sample103	movie 
signer9_sample104	rabbit 
signer9_sample105	read 
signer9_sample106	red 
signer9_sample107	room 
signer9_sample108	sick 
signer9_sample109	snow 
signer9_sample111	tea 
signer9_sample112	teacher 
signer9_sample113	week 
signer9_sample114	why 
signer9_sample115	with 
signer9_sample116	write 
signer9_sample118	again 
signer9_sample119	bad 
signer9_sample120	ball 
signer9_sample121	bathroom 
signer9_sample122	blanket 
signer9_sample123	buy 
signer9_sample124	coffee 
signer9_sample125	college 
signer9_sample126	copy 
signer9_sample127	cute 
signer9_sample128	daughter 
signer9_sample130	far 
signer9_sample131	first 
signer9_sample132	friend 
signer9_sample134	happy 
signer9_sample135	home 
signer9_sample136	know 
signer9_sample137	late 
signer9_sample138	list 
signer9_sample139	name 
signer9_sample140	old 
signer9_sample141	person 
signer9_sample142	police 
signer9_sample143	problem 
signer9_sample144	remember 
signer9_sample145	share 
signer9_sample146	soon 
signer9_sample147	stay 
signer9_sample148	sunday 
signer9_sample149	test 
signer9_sample150	tired 
signer9_sample151	trade 
signer9_sample152	travel 
signer9_sample153	window 
signer9_sample154	you 
signer9_sample166	christmas 
signer9_sample172	drive 
signer9_sample185	live 
signer9_sample242	halloween 
signer9_sample244	heart 
signer9_sample379	sentence 
signer9_sample396	town 
signer9_sample399	truck 
signer9_sample405	adult 
signer9_sample454	event 
signer9_sample488	outside 
signer9_sample492	postpone 
signer9_sample493	power 
signer9_sample494	price 
signer9_sample546	airplane 
signer9_sample547	already 
signer9_sample548	also 
signer9_sample549	analyze 
signer9_sample550	and 
signer9_sample551	angry 
signer9_sample552	appear 
signer9_sample553	arm 
signer9_sample554	army 
signer9_sample555	ask 
signer9_sample556	attitude 
signer9_sample557	attract 
signer9_sample558	bald 
signer9_sample559	baseball 
signer9_sample560	beg 
signer9_sample561	benefit 
signer9_sample562	bite 
signer9_sample563	blame 
signer9_sample564	boat 
signer9_sample565	body 
signer9_sample566	borrow 
signer9_sample567	boss 
signer9_sample568	bother 
signer9_sample569	bottle 
signer9_sample570	brag 
signer9_sample571	build 
signer9_sample572	bus 
signer9_sample573	butter 
signer9_sample574	calm 
signer9_sample575	cancel 
signer9_sample576	candle 
signer9_sample577	cards 
signer9_sample578	choice 
signer9_sample579	comb 
signer9_sample580	comfortable 
signer9_sample581	cover 
signer9_sample582	deodorant 
signer9_sample583	dessert 
signer9_sample584	destroy 
signer9_sample585	dollar 
signer9_sample586	dream 
signer9_sample587	drunk 
signer9_sample588	duck 
signer9_sample589	during 
signer9_sample590	eagle 
signer9_sample591	early 
signer9_sample592	equal 
signer9_sample593	every 
signer9_sample594	excited 
signer9_sample595	experiment 
signer9_sample596	expert 
signer9_sample597	fact 
signer9_sample598	fear 
signer9_sample599	feedback 
signer9_sample601	forest 
signer9_sample602	france 
signer9_sample603	frog 
signer9_sample604	funny 
signer9_sample605	garage 
signer9_sample606	goal 
signer9_sample607	golf 
signer9_sample608	gone 
signer9_sample609	gossip 
signer9_sample610	grandmother 
signer9_sample611	grapes 
signer9_sample613	hamburger 
signer9_sample614	hate 
signer9_sample615	head 
signer9_sample617	horse 
signer9_sample618	ignore 
signer9_sample619	impossible 
signer9_sample620	in 
signer9_sample621	independent 
signer9_sample622	inside 
signer9_sample623	insurance 
signer9_sample624	island 
signer9_sample625	lecture 
signer9_sample626	lesson 
signer9_sample627	limit 
signer9_sample628	lion 
signer9_sample630	math 
signer9_sample631	mechanic 
signer9_sample632	muscle 
signer9_sample633	museum 
signer9_sample634	must 
signer9_sample635	mustache 
signer9_sample636	negative 
signer9_sample637	nervous 
signer9_sample638	neutral 
signer9_sample639	nose 
signer9_sample640	often 
signer9_sample641	opinion 
signer9_sample642	other 
signer9_sample643	prepare 
signer9_sample644	pretty 
signer9_sample645	priest 
signer9_sample646	program 
signer9_sample647	promise 
signer9_sample648	put 
signer9_sample649	queen 
signer9_sample650	quit 
signer9_sample651	radio 
signer9_sample652	rat 
signer9_sample653	reject 
signer9_sample654	require 
signer9_sample655	retire 
signer9_sample656	rise 
signer9_sample657	river 
signer9_sample658	rough 
signer9_sample659	see 
signer9_sample660	seem 
signer9_sample661	send 
signer9_sample662	sew 
signer9_sample663	sheep 
signer9_sample665	shock 
signer9_sample666	should 
signer9_sample667	skinny 
signer9_sample668	skirt 
signer9_sample669	sour 
signer9_sample670	special 
signer9_sample671	spirit 
signer9_sample672	staff 
signer9_sample673	stand 
signer9_sample674	steal 
signer9_sample675	stop 
signer9_sample676	summon 
signer9_sample677	sunrise 
signer9_sample678	swallow 
signer9_sample679	television 
signer9_sample680	to 
signer9_sample681	together 
signer9_sample682	translate 
signer9_sample683	turtle 
signer9_sample684	up 
signer9_sample685	upset 
signer9_sample686	violin 
signer9_sample687	volunteer 
signer9_sample688	warm 
signer9_sample689	warn 
signer9_sample690	wash 
signer9_sample691	wine 
signer9_sample692	witness 
signer9_sample693	wood 
signer9_sample694	zero 
signer9_sample1307	accent 
signer9_sample1308	adjective 
signer9_sample1309	advanced 
signer9_sample1310	adverb 
signer9_sample1311	anatomy 
signer9_sample1312	annoy 
signer9_sample1313	anyway 
signer9_sample1314	approach 
signer9_sample1315	arizona 
signer9_sample1316	assist 
signer9_sample1317	assume 
signer9_sample1318	attorney 
signer9_sample1319	audiologist 
signer9_sample1320	audiology 
signer9_sample1321	author 
signer9_sample1322	available 
signer9_sample1323	award 
signer9_sample1324	aware 
signer9_sample1325	baptize 
signer9_sample1326	basic 
signer9_sample1327	berry 
signer9_sample1328	beside 
signer9_sample1329	between 
signer9_sample1330	binoculars 
signer9_sample1331	boil 
signer9_sample1332	bookstore 
signer9_sample1333	boxing 
signer9_sample1334	brain 
signer9_sample1335	breakdown 
signer9_sample1336	bribe 
signer9_sample1337	brochure 
signer9_sample1338	burp 
signer9_sample1339	candidate 
signer9_sample1340	carnival 
signer9_sample1341	cheerleader 
signer9_sample1342	chemical 
signer9_sample1343	chicago 
signer9_sample1344	choke 
signer9_sample1345	christ 
signer9_sample1346	comma 
signer9_sample1347	committee 
signer9_sample1348	common sense 
signer9_sample1349	concentrate 
signer9_sample1350	consider 
signer9_sample1351	contest 
signer9_sample1352	cooperate 
signer9_sample1353	counsel 
signer9_sample1354	counselor 
signer9_sample1355	crown 
signer9_sample1356	curtain 
signer9_sample1357	customer 
signer9_sample1359	damage 
signer9_sample1360	dancer 
signer9_sample1361	danger 
signer9_sample1362	dawn 
signer9_sample1363	debate 
signer9_sample1364	deliver 
signer9_sample1365	democrat 
signer9_sample1366	descend 
signer9_sample1367	design 
signer9_sample1368	detective 
signer9_sample1369	devil 
signer9_sample1370	difficult 
signer9_sample1371	dining room 
signer9_sample1372	discount 
signer9_sample1373	division 
signer9_sample1374	drag 
signer9_sample1375	due 
signer9_sample1376	dye 
signer9_sample1377	e 
signer9_sample1378	either 
signer9_sample1379	elementary 
signer9_sample1380	else 
signer9_sample1381	emergency 
signer9_sample1382	engine 
signer9_sample1383	every monday 
signer9_sample1384	every tuesday 
signer9_sample1385	everything 
signer9_sample1386	except 
signer9_sample1387	explode 
signer9_sample1388	express 
signer9_sample1389	f 
signer9_sample1390	familiar 
signer9_sample1391	finance 
signer9_sample1392	flatter 
signer9_sample1393	forgive 
signer9_sample1394	former 
signer9_sample1395	g 
signer9_sample1396	gang 
signer9_sample1397	gift 
signer9_sample1398	grab 
signer9_sample1399	grateful 
signer9_sample1400	h 
signer9_sample1401	heart attack 
signer9_sample1402	hill 
signer9_sample1403	hop 
signer9_sample1404	host 
signer9_sample1405	human 
signer9_sample1406	i 
signer9_sample1408	illegal 
signer9_sample1409	individual 
signer9_sample1410	ireland 
signer9_sample1411	j 
signer9_sample1412	jewelry 
signer9_sample1413	journey 
signer9_sample1414	july 
signer9_sample1415	k 
signer9_sample1416	lamp 
signer9_sample1417	last week 
signer9_sample1418	laundry 
signer9_sample1419	leader 
signer9_sample1420	league 
signer9_sample1421	legal 
signer9_sample1422	let 
signer9_sample1423	liability 
signer9_sample1424	librarian 
signer9_sample1425	license 
signer9_sample1426	little bit 
signer9_sample1427	loan 
signer9_sample1428	look at 
signer9_sample1429	look for 
signer9_sample1430	lord 
signer9_sample1431	m 
signer9_sample1432	melody 
signer9_sample1433	melt 
signer9_sample1434	mention 
signer9_sample1435	military 
signer9_sample1436	mistake 
signer9_sample1437	mock 
signer9_sample1438	murder 
signer9_sample1439	n 
signer9_sample1440	narrow 
signer9_sample1441	necessary 
signer9_sample1442	negotiate 
signer9_sample1443	new york 
signer9_sample1444	northwest 
signer9_sample1445	nun 
signer9_sample1446	o 
signer9_sample1447	objective 
signer9_sample1448	occur 
signer9_sample1449	odor 
signer9_sample1450	olympics 
signer9_sample1451	or 
signer9_sample1452	oral 
signer9_sample1453	our 
signer9_sample1454	overcome 
signer9_sample1455	painter 
signer9_sample1456	part 
signer9_sample1457	pear 
signer9_sample1458	peel 
signer9_sample1459	penalty 
signer9_sample1460	pennsylvania 
signer9_sample1461	permit 
signer9_sample1462	pickle 
signer9_sample1463	pilot 
signer9_sample1464	player 
signer9_sample1465	potential 
signer9_sample1466	poverty 
signer9_sample1467	precious 
signer9_sample1468	precise 
signer9_sample1469	preschool 
signer9_sample1471	prince 
signer9_sample1472	princess 
signer9_sample1473	principle 
signer9_sample1474	process 
signer9_sample1475	profit 
signer9_sample1476	progress 
signer9_sample1477	propaganda 
signer9_sample1478	proper 
signer9_sample1479	psychologist 
signer9_sample1480	public 
signer9_sample1481	pursue 
signer9_sample1482	put off 
signer9_sample1483	q 
signer9_sample1484	quality 
signer9_sample1485	quarrel 
signer9_sample1486	r 
signer9_sample1487	rage 
signer9_sample1488	rather 
signer9_sample1489	real 
signer9_sample1490	recommend 
signer9_sample1491	recover 
signer9_sample1492	relief 
signer9_sample1493	rely 
signer9_sample1494	reply 
signer9_sample1495	rescue 
signer9_sample1496	resist 
signer9_sample1497	restroom 
signer9_sample1498	retreat 
signer9_sample1499	roar 
signer9_sample1500	robber 
signer9_sample1501	ruin 
signer9_sample1502	s 
signer9_sample1503	salary 
signer9_sample1504	scream 
signer9_sample1505	sculpture 
signer9_sample1506	seldom 
signer9_sample1507	sequence 
signer9_sample1508	settle 
signer9_sample1509	shout 
signer9_sample1510	shovel 
signer9_sample1511	sin 
signer9_sample1512	singer 
signer9_sample1513	ski 
signer9_sample1514	skip 
signer9_sample1515	sofa 
signer9_sample1516	solve 
signer9_sample1517	something 
signer9_sample1518	somewhere 
signer9_sample1519	spill 
signer9_sample1520	spit 
signer9_sample1521	squeeze 
signer9_sample1522	stepfather 
signer9_sample1523	sting 
signer9_sample1524	stir 
signer9_sample1525	stitch 
signer9_sample1526	stuck 
signer9_sample1527	sue 
signer9_sample1528	sunshine 
signer9_sample1529	surrender 
signer9_sample1530	suspend 
signer9_sample1531	t 
signer9_sample1532	talent 
signer9_sample1533	tempt 
signer9_sample1534	tend 
signer9_sample1535	testify 
signer9_sample1536	texas 
signer9_sample1537	than 
signer9_sample1538	therefore 
signer9_sample1539	thrill 
signer9_sample1540	tobacco 
signer9_sample1541	toilet paper 
signer9_sample1542	tolerate 
signer9_sample1543	torture 
signer9_sample1544	towel 
signer9_sample1545	turn 
signer9_sample1546	u 
signer9_sample1547	unique 
signer9_sample1548	upstairs 
signer9_sample1549	v 
signer9_sample1550	vacant 
signer9_sample1551	vague 
signer9_sample1552	valley 
signer9_sample1553	vice president 
signer9_sample1554	viewpoint 
signer9_sample1555	visualize 
signer9_sample1556	volleyball 
signer9_sample1557	w 
signer9_sample1558	washington 
signer9_sample1559	waterfall 
signer9_sample1560	weigh 
signer9_sample1561	whistle 
signer10_sample4	before 
signer10_sample8	go 
signer10_sample15	help 
signer10_sample25	yes 
signer10_sample34	thanksgiving 
signer10_sample35	what 
signer10_sample43	shirt 
signer10_sample49	doctor 
signer10_sample50	give 
signer10_sample53	time 
signer10_sample55	but 
signer10_sample72	laugh 
signer10_sample82	far 
signer10_sample102	chat 
signer10_sample117	fat 
signer10_sample146	argue 
signer10_sample159	hurry 
signer10_sample162	jump 
signer10_sample179	age 
signer10_sample184	cafeteria 
signer10_sample192	cup 
signer10_sample197	deer 
signer10_sample199	earring 
signer10_sample202	explain 
signer10_sample204	fight 
signer10_sample207	follow 
signer10_sample213	rain 
signer10_sample215	score 
signer10_sample220	struggle 
signer10_sample223	toast 
signer10_sample224	toilet 
signer10_sample226	allow 
signer10_sample227	allow 
signer10_sample229	awful 
signer10_sample234	belt 
signer10_sample235	compare 
signer10_sample236	contact 
signer10_sample244	experience 
signer10_sample246	form 
signer10_sample258	pig 
signer10_sample260	prison 
signer10_sample261	prison 
signer10_sample266	soft 
signer10_sample273	stomach 
signer10_sample274	stomach 
signer10_sample275	strange 
signer10_sample276	sweetheart 
signer10_sample278	tease 
signer10_sample279	tease 
signer10_sample283	thirsty 
signer10_sample284	ticket 
signer10_sample285	ticket 
signer10_sample286	top 
signer10_sample287	wedding 
signer10_sample288	wind 
signer10_sample289	wind 
signer10_sample291	wow 
signer10_sample296	ask 
signer10_sample311	diamond 
signer10_sample317	gone 
signer10_sample318	group 
signer10_sample353	away 
signer10_sample367	doubt 
signer10_sample372	earthquake 
signer10_sample375	evidence 
signer10_sample379	goodbye 
signer10_sample381	grow 
signer10_sample384	information 
signer10_sample390	napkin 
signer10_sample395	predict 
signer10_sample399	private 
signer10_sample406	revenge 
signer10_sample411	straw 
signer10_sample422	arrogant 
signer10_sample459	responsibility 
signer10_sample470	sign language 
signer10_sample483	wonderful 
signer10_sample500	broke 
signer10_sample622	fire 
signer11_sample7	before 
signer11_sample15	candy 
signer11_sample56	bowling 
signer11_sample74	shirt 
signer11_sample83	accident 
signer11_sample88	color 
signer11_sample91	corn 
signer11_sample102	last 
signer11_sample119	short 
signer11_sample133	cheat 
signer11_sample150	right 
signer11_sample187	inform 
signer11_sample205	take 
signer11_sample225	call 
signer11_sample227	call 
signer11_sample242	good 
