Sample	Label
signer4_sample130	235 
signer4_sample132	243 
signer4_sample133	248 
signer4_sample134	252 
signer4_sample137	259 
signer4_sample140	260 
signer4_sample142	267 
signer4_sample143	268 
signer4_sample155	294 
signer4_sample156	296 
signer4_sample157	303 
signer4_sample159	313 
signer4_sample161	328 
signer4_sample163	335 
signer4_sample164	340 
signer4_sample170	352 
signer4_sample173	356 
signer4_sample175	359 
signer4_sample182	389 
signer4_sample185	396 
signer4_sample193	407 
signer4_sample195	415 
signer4_sample196	419 
signer4_sample197	424 
signer4_sample198	433 
signer4_sample202	440 
signer4_sample203	441 
signer4_sample206	451 
signer4_sample209	458 
signer4_sample213	464 
signer4_sample215	469 
signer4_sample220	487 
signer4_sample221	487 
signer4_sample223	497 
signer4_sample242	526 
signer4_sample243	528 
signer4_sample244	528 
signer4_sample245	530 
signer4_sample246	530 
signer4_sample255	552 
signer4_sample286	628 
signer4_sample291	641 
signer4_sample306	664 
signer4_sample308	665 
signer4_sample310	670 
signer4_sample311	673 
signer4_sample313	676 
signer4_sample317	685 
signer4_sample324	713 
signer4_sample326	716 
signer4_sample328	718 
signer4_sample330	720 
signer4_sample332	722 
signer4_sample335	727 
signer4_sample343	746 
signer4_sample357	776 
signer4_sample377	838 
signer4_sample407	895 
signer4_sample408	896 
signer4_sample411	901 
signer4_sample414	906 
signer4_sample417	914 
signer4_sample422	940 
signer4_sample423	942 
signer4_sample444	981 
signer4_sample459	1007 
signer4_sample466	1028 
signer4_sample539	1294 
signer4_sample547	1306 
signer4_sample552	1318 
signer4_sample560	1332 
signer4_sample564	1344 
signer4_sample570	1349 
signer4_sample590	1379 
signer4_sample609	1428 
signer4_sample611	1440 
signer4_sample616	1468 
signer4_sample619	1478 
signer4_sample621	1487 
signer4_sample627	1499 
signer4_sample649	1555 
signer4_sample668	1666 
signer4_sample690	1825 
signer4_sample718	1977 
signer4_sample723	1998 
signer5_sample6	1 
signer5_sample16	4 
signer5_sample42	17 
signer5_sample44	18 
signer5_sample49	19 
signer5_sample57	22 
signer5_sample64	24 
signer5_sample66	24 
signer5_sample69	25 
signer5_sample80	28 
signer5_sample85	31 
signer5_sample88	32 
signer5_sample102	38 
signer5_sample107	40 
signer5_sample110	41 
signer5_sample115	42 
signer5_sample120	45 
signer5_sample137	51 
signer5_sample147	57 
signer5_sample151	59 
signer5_sample166	65 
signer5_sample178	71 
signer5_sample186	76 
signer5_sample189	78 
signer5_sample265	109 
signer5_sample332	154 
signer5_sample382	180 
signer5_sample390	185 
signer5_sample391	186 
signer5_sample397	188 
signer5_sample401	190 
signer5_sample413	200 
signer5_sample429	210 
signer5_sample442	217 
signer5_sample448	222 
signer5_sample478	242 
signer5_sample481	244 
signer5_sample489	249 
signer5_sample492	251 
signer5_sample501	255 
signer5_sample514	263 
signer5_sample518	265 
signer5_sample527	272 
signer5_sample537	280 
signer5_sample548	288 
signer5_sample562	296 
signer5_sample568	299 
signer5_sample592	313 
signer5_sample594	314 
signer5_sample596	315 
signer5_sample603	321 
signer5_sample606	325 
signer5_sample625	337 
signer5_sample632	339 
signer5_sample651	354 
signer5_sample656	358 
signer5_sample659	360 
signer5_sample661	360 
signer5_sample665	364 
signer5_sample668	368 
signer5_sample670	369 
signer5_sample672	371 
signer5_sample683	385 
signer5_sample686	388 
signer5_sample693	393 
signer5_sample700	399 
signer5_sample703	401 
signer5_sample718	411 
signer5_sample739	426 
signer5_sample741	426 
signer5_sample748	432 
signer5_sample762	444 
signer5_sample789	466 
signer5_sample792	467 
signer5_sample797	471 
signer5_sample798	472 
signer5_sample801	476 
signer5_sample803	478 
signer5_sample806	479 
signer5_sample809	482 
signer5_sample810	482 
signer5_sample811	483 
signer5_sample821	493 
signer5_sample824	498 
signer5_sample826	499 
signer5_sample829	501 
signer5_sample831	504 
signer5_sample836	508 
signer5_sample837	508 
signer5_sample838	510 
signer5_sample841	511 
signer5_sample845	514 
signer5_sample851	519 
signer5_sample852	519 
signer5_sample858	523 
signer5_sample862	525 
signer5_sample863	525 
signer5_sample870	531 
signer5_sample871	531 
signer5_sample872	532 
signer5_sample873	532 
signer5_sample876	534 
signer5_sample878	536 
signer5_sample879	536 
signer5_sample886	547 
signer5_sample888	551 
signer5_sample892	555 
signer5_sample897	557 
signer5_sample899	558 
signer5_sample902	559 
signer5_sample903	561 
signer5_sample907	563 
signer5_sample915	568 
signer5_sample916	571 
signer5_sample918	573 
signer5_sample930	586 
signer5_sample932	587 
signer5_sample934	588 
signer5_sample941	594 
signer5_sample943	596 
signer5_sample944	597 
signer5_sample949	602 
signer5_sample950	603 
signer5_sample951	605 
signer5_sample956	608 
signer5_sample963	612 
signer5_sample985	630 
signer5_sample1005	659 
signer5_sample1039	691 
signer5_sample1049	700 
signer5_sample1053	706 
signer5_sample1056	709 
signer5_sample1067	724 
signer5_sample1068	724 
signer5_sample1089	744 
signer5_sample1115	769 
signer5_sample1124	774 
signer5_sample1129	780 
signer5_sample1137	784 
signer5_sample1159	807 
signer5_sample1161	809 
signer5_sample1165	814 
signer5_sample1168	817 
signer5_sample1176	824 
signer5_sample1188	842 
signer5_sample1192	845 
signer5_sample1195	849 
signer5_sample1199	854 
signer5_sample1205	866 
signer5_sample1208	870 
signer5_sample1211	874 
signer5_sample1218	886 
signer5_sample1221	889 
signer5_sample1232	905 
signer5_sample1250	924 
signer5_sample1257	930 
signer5_sample1260	932 
signer5_sample1265	937 
signer5_sample1269	939 
signer5_sample1272	941 
signer5_sample1274	944 
signer5_sample1275	945 
signer5_sample1282	956 
signer5_sample1284	958 
signer5_sample1285	960 
signer5_sample1287	961 
signer5_sample1301	980 
signer5_sample1304	983 
signer5_sample1306	984 
signer5_sample1308	986 
signer5_sample1310	987 
signer5_sample1317	995 
signer5_sample1327	1005 
signer5_sample1332	1012 
signer5_sample1342	1033 
signer5_sample1346	1038 
signer5_sample1354	1051 
signer5_sample1355	1052 
signer5_sample1374	1094 
signer5_sample1375	1099 
signer5_sample1380	1105 
signer5_sample1381	1107 
signer5_sample1382	1108 
signer5_sample1386	1114 
signer5_sample1387	1115 
signer5_sample1389	1117 
signer5_sample1393	1122 
signer5_sample1394	1123 
signer5_sample1399	1137 
signer5_sample1403	1145 
signer5_sample1406	1148 
signer5_sample1415	1168 
signer5_sample1419	1173 
signer5_sample1421	1178 
signer5_sample1424	1180 
signer5_sample1427	1183 
signer5_sample1430	1188 
signer5_sample1440	1203 
signer5_sample1445	1212 
signer5_sample1453	1217 
signer5_sample1455	1218 
signer5_sample1456	1219 
signer5_sample1457	1220 
signer5_sample1462	1225 
signer5_sample1464	1232 
signer5_sample1465	1233 
signer5_sample1467	1238 
signer5_sample1473	1246 
signer5_sample1487	1275 
signer5_sample1495	1293 
signer5_sample1513	1345 
signer5_sample1541	1405 
signer5_sample1553	1423 
signer5_sample1563	1435 
signer5_sample1583	1480 
signer5_sample1610	1539 
signer5_sample1615	1543 
signer5_sample1623	1557 
signer5_sample1635	1585 
signer5_sample1681	1720 
signer5_sample1699	1755 
signer5_sample1706	1774 
signer5_sample1726	1826 
signer6_sample13	51 
signer6_sample18	76 
signer6_sample26	126 
signer6_sample49	245 
signer6_sample52	271 
signer6_sample54	277 
signer6_sample64	357 
signer6_sample66	363 
signer6_sample67	365 
signer6_sample70	387 
signer6_sample71	390 
signer6_sample74	403 
signer6_sample75	405 
signer6_sample76	410 
signer6_sample81	423 
signer6_sample100	570 
signer6_sample122	657 
signer6_sample123	658 
signer6_sample125	675 
signer6_sample133	752 
signer6_sample163	1088 
signer6_sample194	1556 
signer6_sample209	1777 
signer8_sample8	86 
signer8_sample18	216 
signer8_sample22	396 
signer8_sample24	413 
signer8_sample25	414 
signer8_sample27	520 
signer8_sample34	634 
signer8_sample36	646 
signer8_sample38	650 
signer8_sample57	1317 
signer8_sample60	1390 
signer8_sample75	1792 
signer9_sample1	2 
signer9_sample3	4 
signer9_sample4	5 
signer9_sample5	6 
signer9_sample6	7 
signer9_sample8	10 
signer9_sample9	12 
signer9_sample10	13 
signer9_sample12	15 
signer9_sample13	16 
signer9_sample14	17 
signer9_sample16	19 
signer9_sample17	21 
signer9_sample18	22 
signer9_sample19	24 
signer9_sample20	25 
signer9_sample21	26 
signer9_sample22	27 
signer9_sample23	28 
signer9_sample25	31 
signer9_sample26	32 
signer9_sample27	33 
signer9_sample28	34 
signer9_sample30	37 
signer9_sample31	38 
signer9_sample32	39 
signer9_sample33	40 
signer9_sample37	45 
signer9_sample39	47 
signer9_sample40	48 
signer9_sample41	49 
signer9_sample42	50 
signer9_sample44	52 
signer9_sample45	53 
signer9_sample46	54 
signer9_sample47	55 
signer9_sample49	57 
signer9_sample50	58 
signer9_sample53	61 
signer9_sample54	62 
signer9_sample55	66 
signer9_sample57	68 
signer9_sample58	70 
signer9_sample61	73 
signer9_sample62	74 
signer9_sample63	75 
signer9_sample65	77 
signer9_sample67	79 
signer9_sample70	82 
signer9_sample71	83 
signer9_sample72	84 
signer9_sample73	86 
signer9_sample74	87 
signer9_sample75	90 
signer9_sample76	91 
signer9_sample77	92 
signer9_sample78	93 
signer9_sample79	94 
signer9_sample80	97 
signer9_sample81	98 
signer9_sample82	99 
signer9_sample83	100 
signer9_sample84	101 
signer9_sample85	102 
signer9_sample86	103 
signer9_sample87	104 
signer9_sample88	105 
signer9_sample89	107 
signer9_sample90	108 
signer9_sample91	110 
signer9_sample92	111 
signer9_sample93	112 
signer9_sample94	113 
signer9_sample95	114 
signer9_sample96	115 
signer9_sample97	116 
signer9_sample98	117 
signer9_sample100	119 
signer9_sample102	121 
signer9_sample103	122 
signer9_sample104	123 
signer9_sample105	124 
signer9_sample106	125 
signer9_sample107	126 
signer9_sample108	129 
signer9_sample109	130 
signer9_sample111	132 
signer9_sample112	133 
signer9_sample113	134 
signer9_sample114	135 
signer9_sample115	136 
signer9_sample116	137 
signer9_sample118	139 
signer9_sample119	140 
signer9_sample120	141 
signer9_sample121	142 
signer9_sample122	143 
signer9_sample123	144 
signer9_sample124	146 
signer9_sample125	148 
signer9_sample126	149 
signer9_sample127	150 
signer9_sample128	151 
signer9_sample130	153 
signer9_sample131	154 
signer9_sample132	155 
signer9_sample134	157 
signer9_sample135	158 
signer9_sample136	159 
signer9_sample137	160 
signer9_sample138	162 
signer9_sample139	164 
signer9_sample140	165 
signer9_sample141	166 
signer9_sample142	167 
signer9_sample143	168 
signer9_sample144	169 
signer9_sample145	170 
signer9_sample146	171 
signer9_sample147	172 
signer9_sample148	173 
signer9_sample149	174 
signer9_sample150	175 
signer9_sample151	176 
signer9_sample152	177 
signer9_sample153	178 
signer9_sample154	179 
signer9_sample166	193 
signer9_sample172	202 
signer9_sample185	219 
signer9_sample242	285 
signer9_sample244	287 
signer9_sample379	444 
signer9_sample396	463 
signer9_sample399	466 
signer9_sample405	472 
signer9_sample454	527 
signer9_sample488	570 
signer9_sample492	574 
signer9_sample493	575 
signer9_sample494	577 
signer9_sample546	632 
signer9_sample547	633 
signer9_sample548	634 
signer9_sample549	635 
signer9_sample550	636 
signer9_sample551	637 
signer9_sample552	638 
signer9_sample553	639 
signer9_sample554	640 
signer9_sample555	643 
signer9_sample556	644 
signer9_sample557	645 
signer9_sample558	646 
signer9_sample559	648 
signer9_sample560	649 
signer9_sample561	650 
signer9_sample562	651 
signer9_sample563	652 
signer9_sample564	653 
signer9_sample565	654 
signer9_sample566	655 
signer9_sample567	656 
signer9_sample568	657 
signer9_sample569	658 
signer9_sample570	660 
signer9_sample571	661 
signer9_sample572	662 
signer9_sample573	663 
signer9_sample574	664 
signer9_sample575	665 
signer9_sample576	666 
signer9_sample577	667 
signer9_sample578	668 
signer9_sample579	669 
signer9_sample580	670 
signer9_sample581	672 
signer9_sample582	673 
signer9_sample583	674 
signer9_sample584	675 
signer9_sample585	677 
signer9_sample586	679 
signer9_sample587	680 
signer9_sample588	681 
signer9_sample589	682 
signer9_sample590	683 
signer9_sample591	684 
signer9_sample592	685 
signer9_sample593	686 
signer9_sample594	687 
signer9_sample595	689 
signer9_sample596	690 
signer9_sample597	691 
signer9_sample598	692 
signer9_sample599	693 
signer9_sample601	695 
signer9_sample602	696 
signer9_sample603	697 
signer9_sample604	698 
signer9_sample605	699 
signer9_sample606	700 
signer9_sample607	701 
signer9_sample608	702 
signer9_sample609	703 
signer9_sample610	704 
signer9_sample611	705 
signer9_sample613	708 
signer9_sample614	709 
signer9_sample615	710 
signer9_sample617	712 
signer9_sample618	713 
signer9_sample619	714 
signer9_sample620	715 
signer9_sample621	716 
signer9_sample622	717 
signer9_sample623	718 
signer9_sample624	719 
signer9_sample625	720 
signer9_sample626	721 
signer9_sample627	722 
signer9_sample628	723 
signer9_sample630	726 
signer9_sample631	728 
signer9_sample632	732 
signer9_sample633	733 
signer9_sample634	734 
signer9_sample635	735 
signer9_sample636	736 
signer9_sample637	737 
signer9_sample638	738 
signer9_sample639	739 
signer9_sample640	740 
signer9_sample641	742 
signer9_sample642	743 
signer9_sample643	746 
signer9_sample644	747 
signer9_sample645	748 
signer9_sample646	749 
signer9_sample647	750 
signer9_sample648	751 
signer9_sample649	752 
signer9_sample650	753 
signer9_sample651	754 
signer9_sample652	755 
signer9_sample653	756 
signer9_sample654	757 
signer9_sample655	759 
signer9_sample656	760 
signer9_sample657	761 
signer9_sample658	762 
signer9_sample659	763 
signer9_sample660	764 
signer9_sample661	765 
signer9_sample662	766 
signer9_sample663	767 
signer9_sample665	769 
signer9_sample666	770 
signer9_sample667	772 
signer9_sample668	773 
signer9_sample669	775 
signer9_sample670	776 
signer9_sample671	777 
signer9_sample672	778 
signer9_sample673	779 
signer9_sample674	780 
signer9_sample675	781 
signer9_sample676	783 
signer9_sample677	784 
signer9_sample678	785 
signer9_sample679	786 
signer9_sample680	787 
signer9_sample681	788 
signer9_sample682	789 
signer9_sample683	791 
signer9_sample684	793 
signer9_sample685	794 
signer9_sample686	795 
signer9_sample687	796 
signer9_sample688	797 
signer9_sample689	798 
signer9_sample690	799 
signer9_sample691	800 
signer9_sample692	801 
signer9_sample693	802 
signer9_sample694	803 
signer9_sample1307	1600 
signer9_sample1308	1603 
signer9_sample1309	1607 
signer9_sample1310	1608 
signer9_sample1311	1613 
signer9_sample1312	1614 
signer9_sample1313	1615 
signer9_sample1314	1616 
signer9_sample1315	1617 
signer9_sample1316	1618 
signer9_sample1317	1619 
signer9_sample1318	1620 
signer9_sample1319	1621 
signer9_sample1320	1622 
signer9_sample1321	1624 
signer9_sample1322	1625 
signer9_sample1323	1626 
signer9_sample1324	1627 
signer9_sample1325	1629 
signer9_sample1326	1630 
signer9_sample1327	1632 
signer9_sample1328	1633 
signer9_sample1329	1634 
signer9_sample1330	1635 
signer9_sample1331	1638 
signer9_sample1332	1640 
signer9_sample1333	1641 
signer9_sample1334	1643 
signer9_sample1335	1644 
signer9_sample1336	1647 
signer9_sample1337	1648 
signer9_sample1338	1650 
signer9_sample1339	1654 
signer9_sample1340	1657 
signer9_sample1341	1659 
signer9_sample1342	1660 
signer9_sample1343	1661 
signer9_sample1344	1662 
signer9_sample1345	1663 
signer9_sample1346	1669 
signer9_sample1347	1672 
signer9_sample1348	1673 
signer9_sample1349	1675 
signer9_sample1350	1677 
signer9_sample1351	1680 
signer9_sample1352	1683 
signer9_sample1353	1684 
signer9_sample1354	1685 
signer9_sample1355	1689 
signer9_sample1356	1691 
signer9_sample1357	1692 
signer9_sample1359	1694 
signer9_sample1360	1695 
signer9_sample1361	1696 
signer9_sample1362	1698 
signer9_sample1363	1700 
signer9_sample1364	1702 
signer9_sample1365	1703 
signer9_sample1366	1704 
signer9_sample1367	1705 
signer9_sample1368	1706 
signer9_sample1369	1707 
signer9_sample1370	1709 
signer9_sample1371	1710 
signer9_sample1372	1712 
signer9_sample1373	1715 
signer9_sample1374	1717 
signer9_sample1375	1721 
signer9_sample1376	1725 
signer9_sample1377	1726 
signer9_sample1378	1727 
signer9_sample1379	1729 
signer9_sample1380	1730 
signer9_sample1381	1731 
signer9_sample1382	1732 
signer9_sample1383	1735 
signer9_sample1384	1736 
signer9_sample1385	1737 
signer9_sample1386	1738 
signer9_sample1387	1740 
signer9_sample1388	1741 
signer9_sample1389	1742 
signer9_sample1390	1744 
signer9_sample1391	1746 
signer9_sample1392	1751 
signer9_sample1393	1753 
signer9_sample1394	1754 
signer9_sample1395	1757 
signer9_sample1396	1758 
signer9_sample1397	1762 
signer9_sample1398	1763 
signer9_sample1399	1765 
signer9_sample1400	1768 
signer9_sample1401	1772 
signer9_sample1402	1773 
signer9_sample1403	1775 
signer9_sample1404	1776 
signer9_sample1405	1778 
signer9_sample1406	1779 
signer9_sample1408	1781 
signer9_sample1409	1783 
signer9_sample1410	1787 
signer9_sample1411	1789 
signer9_sample1412	1790 
signer9_sample1413	1791 
signer9_sample1414	1793 
signer9_sample1415	1794 
signer9_sample1416	1798 
signer9_sample1417	1799 
signer9_sample1418	1800 
signer9_sample1419	1801 
signer9_sample1420	1802 
signer9_sample1421	1804 
signer9_sample1422	1805 
signer9_sample1423	1806 
signer9_sample1424	1807 
signer9_sample1425	1808 
signer9_sample1426	1809 
signer9_sample1427	1810 
signer9_sample1428	1811 
signer9_sample1429	1812 
signer9_sample1430	1813 
signer9_sample1431	1814 
signer9_sample1432	1816 
signer9_sample1433	1817 
signer9_sample1434	1818 
signer9_sample1435	1821 
signer9_sample1436	1823 
signer9_sample1437	1824 
signer9_sample1438	1828 
signer9_sample1439	1829 
signer9_sample1440	1830 
signer9_sample1441	1831 
signer9_sample1442	1832 
signer9_sample1443	1833 
signer9_sample1444	1835 
signer9_sample1445	1839 
signer9_sample1446	1840 
signer9_sample1447	1841 
signer9_sample1448	1844 
signer9_sample1449	1845 
signer9_sample1450	1846 
signer9_sample1451	1847 
signer9_sample1452	1848 
signer9_sample1453	1849 
signer9_sample1454	1850 
signer9_sample1455	1852 
signer9_sample1456	1853 
signer9_sample1457	1856 
signer9_sample1458	1857 
signer9_sample1459	1858 
signer9_sample1460	1859 
signer9_sample1461	1861 
signer9_sample1462	1863 
signer9_sample1463	1864 
signer9_sample1464	1865 
signer9_sample1465	1870 
signer9_sample1466	1871 
signer9_sample1467	1872 
signer9_sample1468	1874 
signer9_sample1469	1875 
signer9_sample1471	1877 
signer9_sample1472	1878 
signer9_sample1473	1879 
signer9_sample1474	1880 
signer9_sample1475	1881 
signer9_sample1476	1882 
signer9_sample1477	1883 
signer9_sample1478	1884 
signer9_sample1479	1885 
signer9_sample1480	1886 
signer9_sample1481	1890 
signer9_sample1482	1891 
signer9_sample1483	1892 
signer9_sample1484	1893 
signer9_sample1485	1894 
signer9_sample1486	1896 
signer9_sample1487	1897 
signer9_sample1488	1898 
signer9_sample1489	1899 
signer9_sample1490	1901 
signer9_sample1491	1902 
signer9_sample1492	1905 
signer9_sample1493	1906 
signer9_sample1494	1907 
signer9_sample1495	1908 
signer9_sample1496	1909 
signer9_sample1497	1910 
signer9_sample1498	1911 
signer9_sample1499	1912 
signer9_sample1500	1913 
signer9_sample1501	1916 
signer9_sample1502	1917 
signer9_sample1503	1918 
signer9_sample1504	1921 
signer9_sample1505	1922 
signer9_sample1506	1924 
signer9_sample1507	1925 
signer9_sample1508	1926 
signer9_sample1509	1927 
signer9_sample1510	1928 
signer9_sample1511	1929 
signer9_sample1512	1930 
signer9_sample1513	1932 
signer9_sample1514	1933 
signer9_sample1515	1935 
signer9_sample1516	1937 
signer9_sample1517	1939 
signer9_sample1518	1940 
signer9_sample1519	1942 
signer9_sample1520	1943 
signer9_sample1521	1946 
signer9_sample1522	1948 
signer9_sample1523	1949 
signer9_sample1524	1950 
signer9_sample1525	1951 
signer9_sample1526	1952 
signer9_sample1527	1953 
signer9_sample1528	1954 
signer9_sample1529	1956 
signer9_sample1530	1957 
signer9_sample1531	1959 
signer9_sample1532	1960 
signer9_sample1533	1962 
signer9_sample1534	1964 
signer9_sample1535	1965 
signer9_sample1536	1966 
signer9_sample1537	1968 
signer9_sample1538	1969 
signer9_sample1539	1970 
signer9_sample1540	1971 
signer9_sample1541	1972 
signer9_sample1542	1973 
signer9_sample1543	1974 
signer9_sample1544	1975 
signer9_sample1545	1978 
signer9_sample1546	1980 
signer9_sample1547	1981 
signer9_sample1548	1982 
signer9_sample1549	1983 
signer9_sample1550	1984 
signer9_sample1551	1985 
signer9_sample1552	1986 
signer9_sample1553	1989 
signer9_sample1554	1990 
signer9_sample1555	1991 
signer9_sample1556	1993 
signer9_sample1557	1994 
signer9_sample1558	1995 
signer9_sample1559	1996 
signer9_sample1560	1997 
signer9_sample1561	1999 
signer10_sample4	3 
signer10_sample8	5 
signer10_sample15	12 
signer10_sample25	17 
signer10_sample34	29 
signer10_sample35	30 
signer10_sample43	46 
signer10_sample49	60 
signer10_sample50	64 
signer10_sample53	73 
signer10_sample55	80 
signer10_sample72	120 
signer10_sample82	153 
signer10_sample102	191 
signer10_sample117	204 
signer10_sample146	258 
signer10_sample159	290 
signer10_sample162	293 
signer10_sample179	351 
signer10_sample184	367 
signer10_sample192	374 
signer10_sample197	378 
signer10_sample199	386 
signer10_sample202	391 
signer10_sample204	393 
signer10_sample207	398 
signer10_sample213	438 
signer10_sample215	443 
signer10_sample220	454 
signer10_sample223	460 
signer10_sample224	461 
signer10_sample226	475 
signer10_sample227	475 
signer10_sample229	484 
signer10_sample234	490 
signer10_sample235	504 
signer10_sample236	506 
signer10_sample244	529 
signer10_sample246	537 
signer10_sample258	572 
signer10_sample260	578 
signer10_sample261	578 
signer10_sample266	594 
signer10_sample273	600 
signer10_sample274	600 
signer10_sample275	602 
signer10_sample276	610 
signer10_sample278	611 
signer10_sample279	611 
signer10_sample283	615 
signer10_sample284	616 
signer10_sample285	616 
signer10_sample286	617 
signer10_sample287	624 
signer10_sample288	626 
signer10_sample289	626 
signer10_sample291	629 
signer10_sample296	643 
signer10_sample311	676 
signer10_sample317	702 
signer10_sample318	706 
signer10_sample353	816 
signer10_sample367	865 
signer10_sample372	868 
signer10_sample375	876 
signer10_sample379	891 
signer10_sample381	892 
signer10_sample384	904 
signer10_sample390	929 
signer10_sample395	948 
signer10_sample399	952 
signer10_sample406	967 
signer10_sample411	997 
signer10_sample422	1048 
signer10_sample459	1206 
signer10_sample470	1226 
signer10_sample483	1277 
signer10_sample500	1326 
signer10_sample622	1748 
signer11_sample7	3 
signer11_sample15	8 
signer11_sample56	34 
signer11_sample74	46 
signer11_sample83	51 
signer11_sample88	55 
signer11_sample91	56 
signer11_sample102	65 
signer11_sample119	72 
signer11_sample133	81 
signer11_sample150	95 
signer11_sample187	118 
signer11_sample205	131 
signer11_sample225	145 
signer11_sample227	145 
signer11_sample242	156 
signer11_sample271	181 
signer11_sample275	186 
signer11_sample284	193 
signer11_sample289	195 
signer11_sample293	202 
signer11_sample297	206 
signer11_sample342	244 
signer11_sample353	252 
signer11_sample361	260 
signer11_sample366	264 
signer11_sample368	265 
signer11_sample385	281 
signer11_sample412	302 
signer11_sample422	311 
signer11_sample423	312 
signer11_sample426	314 
signer11_sample433	319 
signer11_sample438	323 
signer11_sample447	330 
signer11_sample452	334 
signer11_sample454	336 
signer11_sample469	347 
signer11_sample472	350 
signer11_sample480	355 
signer11_sample486	361 
signer11_sample490	364 
signer11_sample494	366 
signer11_sample501	372 
signer11_sample506	376 
signer11_sample508	377 
signer11_sample510	379 
signer11_sample512	380 
signer11_sample515	383 
signer11_sample516	384 
signer11_sample528	400 
signer11_sample533	406 
signer11_sample541	416 
signer11_sample542	417 
signer11_sample543	418 
signer11_sample552	425 
signer11_sample554	427 
signer11_sample557	429 
signer11_sample559	431 
signer11_sample562	434 
signer11_sample571	439 
signer11_sample574	442 
signer11_sample581	448 
signer11_sample586	453 
signer11_sample587	455 
signer11_sample588	456 
signer11_sample592	462 
signer11_sample595	465 
signer11_sample609	476 
signer11_sample610	477 
signer11_sample611	477 
signer11_sample612	478 
signer11_sample616	483 
signer11_sample618	486 
signer11_sample628	496 
signer11_sample629	498 
signer11_sample630	499 
signer11_sample632	501 
signer11_sample633	502 
signer11_sample634	503 
signer11_sample636	507 
signer11_sample643	511 
signer11_sample645	513 
signer11_sample646	513 
signer11_sample648	516 
signer11_sample650	518 
signer11_sample654	523 
signer11_sample655	524 
signer11_sample656	524 
signer11_sample668	534 
signer11_sample669	535 
signer11_sample672	538 
signer11_sample675	541 
signer11_sample676	542 
signer11_sample679	544 
signer11_sample680	546 
signer11_sample685	551 
